仙,신선 선,5급Ⅱ,寸,마디 촌:,8급,形,모양 형,6급Ⅱ,貴,귀할 귀:,5급,要,요긴할 요(:),5급Ⅱ,曲,굽을 곡,5급,口,입 구(:),7급,多,많을 다,6급,打,칠 타:,5급,活,살 활,7급Ⅱ
醫,의원 의,6급,客,손 객,5급Ⅱ,安,편안 안,7급Ⅱ,能,능할 능,5급Ⅱ,海,바다 해:,7급Ⅱ,去,갈 거:,5급,便,편할 편(:)|똥오줌 변,7급,八,여덟 팔,8급,末,끝 말,5급,善,착할 선:,5급
操,잡을 조(:),5급,男,사내 남,7급Ⅱ,河,물 하,5급,章,글 장,6급,可,옳을 가:,5급,物,물건 물,7급Ⅱ,商,장사 상,5급Ⅱ,因,인할 인,5급,室,집 실,8급,外,바깥 외:,8급
才,재주 재,6급Ⅱ,學,배울 학,8급,先,먼저 선,8급,集,모을 집,6급Ⅱ,發,필 발,6급Ⅱ,買,살 매:,5급,本,근본 본,6급,過,지날 과:,5급Ⅱ,式,법 식,6급,擧,들 거:,5급
觀,볼 관,5급Ⅱ,山,메 산,8급,廣,넓을 광:,5급Ⅱ,建,세울 건:,5급,勞,일할 로,5급Ⅱ,郡,고을 군:,6급,李,오얏/성(姓) 리:,6급,家,집 가,7급Ⅱ,望,바랄 망:,5급Ⅱ,洞,골 동:|밝을 통:,7급
白,흰 백,8급,水,물 수,8급,必,반드시 필,5급Ⅱ,區,구분할/지경 구,6급,東,동녘 동,8급,大,큰 대(:),8급,正,바를 정(:),7급Ⅱ,苦,쓸[味覺] 고,6급,第,차례 제:,6급Ⅱ,停,머무를 정,5급
戰,싸움 전:,6급Ⅱ,入,들 입,7급,歷,지날 력,5급Ⅱ,弟,아우 제:,8급,歌,노래 가,7급,昨,어제 작,6급Ⅱ,臣,신하 신,5급Ⅱ,登,오를 등,7급,立,설 립,7급Ⅱ,德,큰 덕,5급Ⅱ
約,맺을 약,5급Ⅱ,飮,마실 음(:),6급Ⅱ,前,앞 전,7급Ⅱ,雪,눈 설,6급Ⅱ,花,꽃 화,7급,展,펼 전:,5급Ⅱ,夜,밤 야:,6급,己,몸 기,5급Ⅱ,理,다스릴 리:,6급Ⅱ,最,가장 최:,5급
冬,겨울 동(:),7급,始,비로소 시:,6급Ⅱ,傳,전할 전,5급Ⅱ,校,학교 교:,8급,兵,병사 병,5급Ⅱ,使,하여금/부릴 사:,6급,願,원할 원:,5급,速,빠를 속,6급,規,법 규,5급,計,셀 계:,6급Ⅱ
石,돌 석,6급,文,글월 문,7급,果,실과 과:,6급Ⅱ,言,말씀 언,6급,面,낯 면:,7급,惡,악할 악|미워할 오,5급Ⅱ,和,화할 화,6급Ⅱ,念,생각 념:,5급Ⅱ,樂,즐길 락|노래 악|좋아할 요,6급Ⅱ,屋,집 옥,5급
